model,repeat,fold,auc,n_test_meta,n_test_total,n_feat,used_fallback
Logistic Regression,18,1,0.43333333333333335,2,32,5,0
Random Forest,18,1,0.9333333333333333,2,32,5,0
SVM,18,1,0.4,2,32,5,0
XGBoost,18,1,0.9083333333333333,2,32,5,0
Logistic Regression,18,2,0.84,5,40,10,1
Random Forest,18,2,0.76,5,40,10,1
SVM,18,2,0.5942857142857143,5,40,10,1
XGBoost,18,2,0.7942857142857143,5,40,10,1
Logistic Regression,18,3,0.22142857142857142,4,39,10,1
Random Forest,18,3,0.6642857142857144,4,39,10,1
SVM,18,3,0.6357142857142857,4,39,10,1
XGBoost,18,3,0.5928571428571429,4,39,10,1
Logistic Regression,18,4,0.6710526315789473,2,40,10,1
Random Forest,18,4,0.4736842105263158,2,40,10,1
SVM,18,4,0.5657894736842105,2,40,10,1
XGBoost,18,4,0.5263157894736843,2,40,10,1
Logistic Regression,19,0,0.525,4,44,10,1
Random Forest,19,0,0.6749999999999999,4,44,10,1
SVM,19,0,0.44375,4,44,10,1
XGBoost,19,0,0.65,4,44,10,1
Logistic Regression,19,1,0.24074074074074073,3,39,10,1
Random Forest,19,1,0.8333333333333334,3,39,10,1
SVM,19,1,0.7314814814814815,3,39,10,1
XGBoost,19,1,0.8611111111111112,3,39,10,1
Logistic Regression,19,2,0.2892156862745098,6,40,10,1
Random Forest,19,2,0.5147058823529411,6,40,10,1
SVM,19,2,0.3529411764705882,6,40,10,1
XGBoost,19,2,0.5196078431372548,6,40,10,1
Logistic Regression,19,3,0.6306306306306306,3,40,3,0
Random Forest,19,3,0.4504504504504504,3,40,3,0
SVM,19,3,0.6486486486486486,3,40,3,0
XGBoost,19,3,0.48648648648648646,3,40,3,0
Logistic Regression,19,4,0.7166666666666667,2,32,10,1
Random Forest,19,4,0.6666666666666666,2,32,10,1
SVM,19,4,0.5833333333333334,2,32,10,1
XGBoost,19,4,0.5833333333333334,2,32,10,1
